property_id,no_bedrooms,sq_footage,has_balcony,pets_allowed,parking_spaces,garage_spaces,no_baths,property_name,property_description,owner,city,property_address
1,3,2703,0,1,5,0,2,Stronghold,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,63,14,61015 Little Fleur Avenue
2,6,5788,1,0,4,1,4,Vagram,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,54,7,71631 Starling Way
3,2,723,1,1,1,1,1,Zathin,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,16,14,92 Butternut Terrace
4,1,2070,0,0,2,0,4,Bitwolf,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,1,3,00575 Stang Point
5,5,2137,0,0,1,0,1,Sonair,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,28,9,9 Basil Street
6,1,7213,0,0,5,0,2,It,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,34,5,88437 Daystar Trail
7,5,3966,1,1,2,1,2,Alpha,amet cursus id turpis integer aliquet massa id lobortis convallis,46,6,8 Graceland Park
8,1,5654,1,1,5,1,2,It,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,12,1,415 Grasskamp Lane
9,4,910,1,0,3,1,6,Y-Solowarm,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,94,12,23415 Mockingbird Hill
10,1,6995,0,0,5,1,6,Wrapsafe,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,26,3,7069 Pepper Wood Hill
11,2,776,1,0,5,0,2,Cardguard,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,28,1,9 Elka Junction
12,5,1065,0,0,6,0,4,Otcom,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,12,14,4337 Daystar Drive
13,4,7827,1,1,1,1,1,Alpha,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,79,6,9 Westridge Hill
14,5,4577,1,1,6,0,4,Daltfresh,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,99,13,92 Elgar Lane
